"X1","X2","X3","X4","X5","Fecha"
"Acelga","Armenia, Mercar","1600","1867","1722","2023-07-02"
"Acelga","Barranquilla, Barranquillita","4000","4000","4000","2023-07-02"
"Acelga","Bogotá, D.C., Corabastos","533","1333","898","2023-07-02"
"Acelga","Bucaramanga, Centroabastos","1500","2000","1808","2023-07-02"
"Acelga","Chiquinquirá (Boyacá)","1200","1500","1317","2023-07-02"
"Acelga","Duitama (Boyacá)","900","1000","975","2023-07-02"
"Acelga","Ibagué, Plaza La 21","1600","2000","1769","2023-07-02"
"Acelga","Ipiales (Nariño), Ipiales somos todos","1500","2000","1667","2023-07-02"
"Acelga","Medellín, Central Mayorista de Antioquia","1800","2000","1900","2023-07-02"
"Acelga","Neiva, Surabastos","2250","2500","2417","2023-07-02"
"Acelga","Pamplona (Norte de Santander)","2000","2500","2250","2023-07-02"
"Acelga","Pasto, El Potrerillo","3000","3500","3208","2023-07-02"
"Acelga","Pereira, Mercasa","2000","3000","2400","2023-07-02"
"Acelga","Tibasosa (Boyacá), Coomproriente","1000","1000","1000","2023-07-02"
"Acelga","Tunja, Complejo de Servicios del Sur","1400","1600","1489","2023-07-02"
"Acelga","Villavicencio, CAV","1400","2200","1833","2023-07-02"
"Ahuyama","Armenia, Mercar","600","600","600","2023-07-02"
"Ahuyama","Barranquilla, Barranquillita","614","643","636","2023-07-02"
"Ahuyama","Barranquilla, Granabastos","629","657","640","2023-07-02"
"Ahuyama","Bogotá, D.C., Corabastos","1800","2100","1951","2023-07-02"
"Ahuyama","Bucaramanga, Centroabastos","1300","1500","1400","2023-07-02"
"Ahuyama","Buenaventura (Valle del Cauca)","1800","2000","1900","2023-07-02"
"Ahuyama","Cali, Cavasa","1400","1400","1400","2023-07-02"
"Ahuyama","Cali, Santa Helena","1400","1400","1400","2023-07-02"
"Ahuyama","Cartagena, Bazurto","1000","1000","1000","2023-07-02"
"Ahuyama","Cartago (Valle del Cauca)","1500","1600","1533","2023-07-02"
"Ahuyama","Cúcuta, Cenabastos","1000","1600","1335","2023-07-02"
"Ahuyama","Duitama (Boyacá)","1188","1250","1219","2023-07-02"
"Ahuyama","Ibagué, Plaza La 21","1500","1700","1556","2023-07-02"
"Ahuyama","Manizales, Centro Galerías","1400","1500","1450","2023-07-02"
"Ahuyama","Medellín, Central Mayorista de Antioquia","1000","1500","1192","2023-07-02"
"Ahuyama","Medellín, Plaza Minorista ""José María Villa""","1000","1300","1167","2023-07-02"
"Ahuyama","Montería, Mercado del Sur","540","640","597","2023-07-02"
"Ahuyama","Palmira (Valle del Cauca)","1500","1700","1613","2023-07-02"
"Ahuyama","Pamplona (Norte de Santander)","1200","1500","1350","2023-07-02"
"Ahuyama","Pereira, La 41","1500","2000","1750","2023-07-02"
"Ahuyama","Pereira, Mercasa","1500","1800","1583","2023-07-02"
"Ahuyama","Popayán, Plaza de mercado del barrio Bolívar","960","1000","980","2023-07-02"
"Ahuyama","Rionegro (Antioquia)","1200","1600","1346","2023-07-02"
"Ahuyama","San Gil (Santander)","1100","1200","1133","2023-07-02"
"Ahuyama","Sincelejo, Nuevo Mercado","500","500","500","2023-07-02"
"Ahuyama","Socorro (Santander)","1000","1100","1033","2023-07-02"
"Ahuyama","Tibasosa (Boyacá), Coomproriente","700","900","794","2023-07-02"
"Ahuyama","Tuluá (Valle del Cauca)","1400","1400","1400","2023-07-02"
"Ahuyama","Tunja, Complejo de Servicios del Sur","813","938","889","2023-07-02"
"Ahuyama","Valledupar, Mercabastos","600","600","600","2023-07-02"
"Ahuyama","Valledupar, Mercado Nuevo","600","700","628","2023-07-02"
"Ahuyama","Yopal (Casanare)","1400","1500","1450","2023-07-02"
"Ahuyamín (Sakata)","Arauca (Arauca)","1180","1400","1347","2023-07-02"
"Ahuyamín (Sakata)","Bogotá, D.C., Corabastos","1000","1240","1146","2023-07-02"
"Ahuyamín (Sakata)","Bucaramanga, Centroabastos","900","1060","981","2023-07-02"
"Ahuyamín (Sakata)","Duitama (Boyacá)","1200","1300","1233","2023-07-02"
"Ahuyamín (Sakata)","Florencia (Caquetá)","1600","1680","1640","2023-07-02"
"Ahuyamín (Sakata)","Ibagué, Plaza La 21","1500","1800","1633","2023-07-02"
"Ahuyamín (Sakata)","Neiva, Surabastos","1200","1600","1445","2023-07-02"
"Ahuyamín (Sakata)","Pamplona (Norte de Santander)","1500","1500","1500","2023-07-02"
"Ahuyamín (Sakata)","San Gil (Santander)","1000","1100","1033","2023-07-02"
"Ahuyamín (Sakata)","Tibasosa (Boyacá), Coomproriente","900","1100","1008","2023-07-02"
"Ahuyamín (Sakata)","Tunja, Complejo de Servicios del Sur","1120","1320","1222","2023-07-02"
"Ahuyamín (Sakata)","Villavicencio, CAV","1000","1200","1163","2023-07-02"
"Ahuyamín (Sakata)","Yopal (Casanare)","1280","1300","1290","2023-07-02"
"Ají topito dulce","Barranquilla, Barranquillita","2375","2750","2513","2023-07-02"
"Ají topito dulce","Cartagena, Bazurto","1500","3000","2069","2023-07-02"
"Ají topito dulce","Medellín, Central Mayorista de Antioquia","2300","3000","2565","2023-07-02"
"Ají topito dulce","Montería, Mercado del Sur","1250","1250","1250","2023-07-02"
"Ají topito dulce","Sincelejo, Nuevo Mercado","1250","2250","1611","2023-07-02"
"Ajo","Bogotá, D.C., Corabastos","7000","8000","7169","2023-07-02"
"Ajo","Chiquinquirá (Boyacá)","3000","3000","3000","2023-07-02"
"Ajo","Cúcuta, Cenabastos","1500","2500","1850","2023-07-02"
"Ajo","Duitama (Boyacá)","4000","4400","4133","2023-07-02"
"Ajo","Ipiales (Nariño), Ipiales somos todos","4500","6000","5431","2023-07-02"
"Ajo","Manizales, Centro Galerías","5000","6250","5625","2023-07-02"
"Ajo","Medellín, Central Mayorista de Antioquia","6000","7000","6500","2023-07-02"
"Ajo","Pamplona (Norte de Santander)","1500","2000","1733","2023-07-02"
"Ajo","Pasto, El Potrerillo","5500","7000","6083","2023-07-02"
"Ajo","Pereira, La 41","6667","7778","7130","2023-07-02"
"Ajo","Pereira, Mercasa","5556","6667","6194","2023-07-02"
"Ajo","San Gil (Santander)","3000","3200","3133","2023-07-02"
"Ajo","Tibasosa (Boyacá), Coomproriente","2600","3000","2750","2023-07-02"
"Ajo","Tunja, Complejo de Servicios del Sur","2200","2500","2425","2023-07-02"
"Ajo","Túquerres (Nariño)","6000","7000","6250","2023-07-02"
"Ajo","Villavicencio, CAV","3500","4000","3783","2023-07-02"
"Ajo","Yopal (Casanare)","2000","2000","2000","2023-07-02"
"Ajo importado","Arauca (Arauca)","8500","9500","9167","2023-07-02"
"Ajo importado","Armenia, Mercar","10000","10500","10333","2023-07-02"
"Ajo importado","Barranquilla, Barranquillita","7500","8500","7933","2023-07-02"
"Ajo importado","Barranquilla, Granabastos","7500","7700","7589","2023-07-02"
"Ajo importado","Bogotá, D.C., Corabastos","7500","8000","7748","2023-07-02"
"Ajo importado","Bucaramanga, Centroabastos","8000","8600","8256","2023-07-02"
"Ajo importado","Buenaventura (Valle del Cauca)","8500","9200","8833","2023-07-02"
"Ajo importado","Cali, Cavasa","7800","8000","7925","2023-07-02"
"Ajo importado","Cali, Santa Helena","8000","8500","8083","2023-07-02"
"Ajo importado","Cartagena, Bazurto","7200","8000","7583","2023-07-02"
"Ajo importado","Cartago (Valle del Cauca)","8500","9000","8750","2023-07-02"
"Ajo importado","Cúcuta, Cenabastos","8500","10000","9000","2023-07-02"
"Ajo importado","Ibagué, Plaza La 21","8500","9000","8889","2023-07-02"
"Ajo importado","Ipiales (Nariño), Ipiales somos todos","7000","7300","7067","2023-07-02"
"Ajo importado","Manizales, Centro Galerías","9000","10000","9500","2023-07-02"
"Ajo importado","Medellín, Central Mayorista de Antioquia","7000","7500","7365","2023-07-02"
"Ajo importado","Medellín, Plaza Minorista ""José María Villa""","7000","8000","7604","2023-07-02"
"Ajo importado","Montería, Mercado del Sur","7500","8000","7775","2023-07-02"
"Ajo importado","Neiva, Surabastos","7800","9200","8413","2023-07-02"
"Ajo importado","Palmira (Valle del Cauca)","8000","8500","8250","2023-07-02"
"Ajo importado","Pasto, El Potrerillo","7000","7500","7319","2023-07-02"
"Ajo importado","Pereira, La 41","9000","10000","9500","2023-07-02"
"Ajo importado","Pereira, Mercasa","8000","9000","8425","2023-07-02"
"Ajo importado","Popayán, Plaza de mercado del barrio Bolívar","8000","8300","8038","2023-07-02"
"Ajo importado","Sincelejo, Nuevo Mercado","7200","7700","7458","2023-07-02"
"Ajo importado","Tuluá (Valle del Cauca)","8500","9000","8833","2023-07-02"
"Ajo importado","Valledupar, Mercabastos","7500","8500","7842","2023-07-02"
"Apio","Arauca (Arauca)","1583","2083","1806","2023-07-02"
"Apio","Armenia, Mercar","1250","1400","1342","2023-07-02"
"Apio","Barranquilla, Barranquillita","1700","1900","1800","2023-07-02"
"Apio","Barranquilla, Granabastos","1700","1900","1783","2023-07-02"
"Apio","Bogotá, D.C., Corabastos","1300","2000","1683","2023-07-02"
"Apio","Bucaramanga, Centroabastos","850","1300","1088","2023-07-02"
"Apio","Cali, Cavasa","1176","1765","1526","2023-07-02"
"Apio","Cali, Santa Helena","1471","1706","1588","2023-07-02"
"Apio","Cartagena, Bazurto","1500","2000","1650","2023-07-02"
"Apio","Cartago (Valle del Cauca)","1760","2400","2067","2023-07-02"
"Apio","Chiquinquirá (Boyacá)","900","1000","967","2023-07-02"
"Apio","Cúcuta, Cenabastos","1000","1333","1078","2023-07-02"
"Apio","Duitama (Boyacá)","600","650","617","2023-07-02"
"Apio","Ibagué, Plaza La 21","1600","2080","1902","2023-07-02"
"Apio","Ipiales (Nariño), Ipiales somos todos","1500","2000","1889","2023-07-02"
"Apio","Manizales, Centro Galerías","1920","2400","2267","2023-07-02"
"Apio","Marinilla (Antioquia)","200","400","267","2023-07-02"
"Apio","Medellín, Central Mayorista de Antioquia","700","1100","910","2023-07-02"
"Apio","Medellín, Plaza Minorista ""José María Villa""","600","700","667","2023-07-02"
"Apio","Montería, Mercado del Sur","700","1000","850","2023-07-02"
"Apio","Neiva, Surabastos","1800","2220","1952","2023-07-02"
"Apio","Palmira (Valle del Cauca)","2083","2333","2194","2023-07-02"
"Apio","Pamplona (Norte de Santander)","1000","1167","1056","2023-07-02"
"Apio","Pereira, La 41","2167","2500","2361","2023-07-02"
"Apio","Pereira, Mercasa","2083","2667","2375","2023-07-02"
"Apio","Rionegro (Antioquia)","700","1000","850","2023-07-02"
"Apio","Santa Marta (Magdalena)","1533","2267","1767","2023-07-02"
"Apio","Sincelejo, Nuevo Mercado","800","900","842","2023-07-02"
"Apio","Tibasosa (Boyacá), Coomproriente","900","1100","988","2023-07-02"
"Apio","Tuluá (Valle del Cauca)","2167","2500","2333","2023-07-02"
"Apio","Tunja, Complejo de Servicios del Sur","1150","1400","1253","2023-07-02"
"Apio","Valledupar, Mercabastos","1667","2133","1817","2023-07-02"
"Apio","Villavicencio, CAV","1800","2600","2317","2023-07-02"
"Arveja verde en vaina","Arauca (Arauca)","5435","6087","5833","2023-07-02"
"Arveja verde en vaina","Armenia, Mercar","6240","6560","6400","2023-07-02"
"Arveja verde en vaina","Barranquilla, Barranquillita","10800","11000","10944","2023-07-02"
"Arveja verde en vaina","Barranquilla, Granabastos","9900","10100","9988","2023-07-02"
"Arveja verde en vaina","Bogotá, D.C., Corabastos","5800","8600","6871","2023-07-02"
"Arveja verde en vaina","Bucaramanga, Centroabastos","6000","8000","6888","2023-07-02"
"Arveja verde en vaina","Cartago (Valle del Cauca)","6400","7200","6893","2023-07-02"
"Arveja verde en vaina","Chiquinquirá (Boyacá)","5200","6000","5600","2023-07-02"
"Arveja verde en vaina","Cúcuta, Cenabastos","6000","7600","6917","2023-07-02"
"Arveja verde en vaina","Duitama (Boyacá)","5000","5200","5067","2023-07-02"
"Arveja verde en vaina","El Carmen de Viboral (Antioquia)","4800","5000","4950","2023-07-02"
"Arveja verde en vaina","El Santuario (Antioquia)","5000","6500","5900","2023-07-02"
"Arveja verde en vaina","Ibagué, Plaza La 21","5200","6800","6039","2023-07-02"
"Arveja verde en vaina","La Ceja (Antioquia)","5000","6000","5750","2023-07-02"
"Arveja verde en vaina","Manizales, Centro Galerías","6500","7000","6875","2023-07-02"
"Arveja verde en vaina","Marinilla (Antioquia)","5000","6000","5417","2023-07-02"
"Arveja verde en vaina","Medellín, Central Mayorista de Antioquia","5000","7000","5952","2023-07-02"
"Arveja verde en vaina","Medellín, Plaza Minorista ""José María Villa""","5500","7000","6423","2023-07-02"
"Arveja verde en vaina","Neiva, Surabastos","6400","8000","7160","2023-07-02"
"Arveja verde en vaina","Palmira (Valle del Cauca)","6800","7000","6900","2023-07-02"
"Arveja verde en vaina","Pamplona (Norte de Santander)","6000","6250","6125","2023-07-02"
"Arveja verde en vaina","Pereira, La 41","6000","6400","6300","2023-07-02"
"Arveja verde en vaina","Pereira, Mercasa","6400","7040","6640","2023-07-02"
"Arveja verde en vaina","Rionegro (Antioquia)","5500","6500","6020","2023-07-02"
"Arveja verde en vaina","San Gil (Santander)","5200","5600","5333","2023-07-02"
