"X1","X2","X3","X4","X5","Fecha"
"Acelga","Armenia, Mercar","1600","1733","1667","2023-07-16"
"Acelga","Barranquilla, Barranquillita","4000","4000","4000","2023-07-16"
"Acelga","Bogotá, D.C., Corabastos","800","1667","1284","2023-07-16"
"Acelga","Bucaramanga, Centroabastos","1600","2000","1758","2023-07-16"
"Acelga","Chiquinquirá (Boyacá)","1800","2000","1900","2023-07-16"
"Acelga","Duitama (Boyacá)","1000","1000","1000","2023-07-16"
"Acelga","Ibagué, Plaza La 21","1760","2400","2018","2023-07-16"
"Acelga","Ipiales (Nariño), Ipiales somos todos","2000","2000","2000","2023-07-16"
"Acelga","Medellín, Central Mayorista de Antioquia","1800","2000","1950","2023-07-16"
"Acelga","Neiva, Surabastos","2500","3125","2823","2023-07-16"
"Acelga","Pamplona (Norte de Santander)","2000","2000","2000","2023-07-16"
"Acelga","Pasto, El Potrerillo","3000","5000","4250","2023-07-16"
"Acelga","Pereira, Mercasa","2000","3000","2667","2023-07-16"
"Acelga","Tibasosa (Boyacá), Coomproriente","1000","1000","1000","2023-07-16"
"Acelga","Tunja, Complejo de Servicios del Sur","1700","2000","1867","2023-07-16"
"Acelga","Villavicencio, CAV","2000","2500","2231","2023-07-16"
"Ahuyama","Armenia, Mercar","600","600","600","2023-07-16"
"Ahuyama","Barranquilla, Barranquillita","786","1000","908","2023-07-16"
"Ahuyama","Barranquilla, Granabastos","886","1171","990","2023-07-16"
"Ahuyama","Bogotá, D.C., Corabastos","1600","1900","1742","2023-07-16"
"Ahuyama","Bucaramanga, Centroabastos","1200","1400","1300","2023-07-16"
"Ahuyama","Buenaventura (Valle del Cauca)","1800","2000","1933","2023-07-16"
"Ahuyama","Cali, Cavasa","1400","1400","1400","2023-07-16"
"Ahuyama","Cali, Santa Helena","1400","1500","1433","2023-07-16"
"Ahuyama","Cartagena, Bazurto","1400","1500","1450","2023-07-16"
"Ahuyama","Cartago (Valle del Cauca)","1400","1600","1500","2023-07-16"
"Ahuyama","Cúcuta, Cenabastos","1500","1600","1510","2023-07-16"
"Ahuyama","Duitama (Boyacá)","1094","1250","1177","2023-07-16"
"Ahuyama","Ibagué, Plaza La 21","1200","1700","1483","2023-07-16"
"Ahuyama","Manizales, Centro Galerías","1400","1500","1450","2023-07-16"
"Ahuyama","Medellín, Central Mayorista de Antioquia","800","1100","967","2023-07-16"
"Ahuyama","Medellín, Plaza Minorista ""José María Villa""","1000","1200","1075","2023-07-16"
"Ahuyama","Palmira (Valle del Cauca)","1500","1600","1588","2023-07-16"
"Ahuyama","Pamplona (Norte de Santander)","1500","1500","1500","2023-07-16"
"Ahuyama","Pereira, La 41","1600","2000","1850","2023-07-16"
"Ahuyama","Pereira, Mercasa","1400","1700","1500","2023-07-16"
"Ahuyama","Popayán, Plaza de mercado del barrio Bolívar","960","1000","995","2023-07-16"
"Ahuyama","Rionegro (Antioquia)","1000","1500","1171","2023-07-16"
"Ahuyama","San Gil (Santander)","1100","1200","1133","2023-07-16"
"Ahuyama","Sincelejo, Nuevo Mercado","700","800","789","2023-07-16"
"Ahuyama","Socorro (Santander)","1100","1200","1133","2023-07-16"
"Ahuyama","Tibasosa (Boyacá), Coomproriente","850","1000","900","2023-07-16"
"Ahuyama","Tuluá (Valle del Cauca)","1400","1450","1408","2023-07-16"
"Ahuyama","Tunja, Complejo de Servicios del Sur","906","1000","955","2023-07-16"
"Ahuyama","Valledupar, Mercabastos","1200","1400","1300","2023-07-16"
"Ahuyama","Yopal (Casanare)","1200","1200","1200","2023-07-16"
"Ahuyamín (Sakata)","Arauca (Arauca)","1400","1600","1500","2023-07-16"
"Ahuyamín (Sakata)","Bogotá, D.C., Corabastos","800","1200","942","2023-07-16"
"Ahuyamín (Sakata)","Bucaramanga, Centroabastos","760","860","824","2023-07-16"
"Ahuyamín (Sakata)","Duitama (Boyacá)","1200","1240","1227","2023-07-16"
"Ahuyamín (Sakata)","Florencia (Caquetá)","1840","1840","1840","2023-07-16"
"Ahuyamín (Sakata)","Ibagué, Plaza La 21","1300","1600","1500","2023-07-16"
"Ahuyamín (Sakata)","Neiva, Surabastos","1200","1280","1207","2023-07-16"
"Ahuyamín (Sakata)","Pamplona (Norte de Santander)","1500","1500","1500","2023-07-16"
"Ahuyamín (Sakata)","San Gil (Santander)","1000","1100","1033","2023-07-16"
"Ahuyamín (Sakata)","Tibasosa (Boyacá), Coomproriente","800","1000","918","2023-07-16"
"Ahuyamín (Sakata)","Tunja, Complejo de Servicios del Sur","1000","1200","1123","2023-07-16"
"Ahuyamín (Sakata)","Villavicencio, CAV","1000","1200","1079","2023-07-16"
"Ahuyamín (Sakata)","Yopal (Casanare)","1400","1460","1430","2023-07-16"
"Ají topito dulce","Barranquilla, Barranquillita","3950","5000","4473","2023-07-16"
"Ají topito dulce","Cartagena, Bazurto","3500","4000","3750","2023-07-16"
"Ají topito dulce","Medellín, Central Mayorista de Antioquia","2400","3000","2691","2023-07-16"
"Ají topito dulce","Montería, Mercado del Sur","3000","4125","3446","2023-07-16"
"Ají topito dulce","Sincelejo, Nuevo Mercado","3250","4500","3698","2023-07-16"
"Ajo","Bogotá, D.C., Corabastos","7000","8000","7442","2023-07-16"
"Ajo","Chiquinquirá (Boyacá)","3000","3000","3000","2023-07-16"
"Ajo","Cúcuta, Cenabastos","1200","1500","1367","2023-07-16"
"Ajo","Duitama (Boyacá)","4400","4800","4533","2023-07-16"
"Ajo","Ipiales (Nariño), Ipiales somos todos","4500","5000","4556","2023-07-16"
"Ajo","Manizales, Centro Galerías","5000","6250","5521","2023-07-16"
"Ajo","Medellín, Central Mayorista de Antioquia","7500","10000","8990","2023-07-16"
"Ajo","Pamplona (Norte de Santander)","1200","2000","1539","2023-07-16"
"Ajo","Pasto, El Potrerillo","4500","6000","5208","2023-07-16"
"Ajo","Pereira, La 41","5556","6667","6111","2023-07-16"
"Ajo","Pereira, Mercasa","5556","7222","6278","2023-07-16"
"Ajo","San Gil (Santander)","3000","3200","3133","2023-07-16"
"Ajo","Tibasosa (Boyacá), Coomproriente","2000","2400","2350","2023-07-16"
"Ajo","Tunja, Complejo de Servicios del Sur","2200","2500","2389","2023-07-16"
"Ajo","Túquerres (Nariño)","5500","6000","5792","2023-07-16"
"Ajo","Villavicencio, CAV","3500","4000","3833","2023-07-16"
"Ajo","Yopal (Casanare)","1800","2000","1900","2023-07-16"
"Ajo importado","Arauca (Arauca)","8500","9500","8917","2023-07-16"
"Ajo importado","Armenia, Mercar","8000","9000","8289","2023-07-16"
"Ajo importado","Barranquilla, Barranquillita","7500","7800","7658","2023-07-16"
"Ajo importado","Barranquilla, Granabastos","7500","7600","7567","2023-07-16"
"Ajo importado","Bogotá, D.C., Corabastos","7000","7500","7337","2023-07-16"
"Ajo importado","Bucaramanga, Centroabastos","7500","8200","7869","2023-07-16"
"Ajo importado","Buenaventura (Valle del Cauca)","8400","8700","8533","2023-07-16"
"Ajo importado","Cali, Cavasa","7500","7700","7513","2023-07-16"
"Ajo importado","Cali, Santa Helena","7000","7500","7417","2023-07-16"
"Ajo importado","Cartagena, Bazurto","7300","8000","7575","2023-07-16"
"Ajo importado","Cartago (Valle del Cauca)","8000","9000","8500","2023-07-16"
"Ajo importado","Cúcuta, Cenabastos","8000","8500","8250","2023-07-16"
"Ajo importado","Ibagué, Plaza La 21","8000","10000","8333","2023-07-16"
"Ajo importado","Ipiales (Nariño), Ipiales somos todos","7500","8000","7675","2023-07-16"
"Ajo importado","Manizales, Centro Galerías","8500","9000","8750","2023-07-16"
"Ajo importado","Medellín, Central Mayorista de Antioquia","7000","7500","7375","2023-07-16"
"Ajo importado","Medellín, Plaza Minorista ""José María Villa""","6800","7500","7192","2023-07-16"
"Ajo importado","Montería, Mercado del Sur","7700","8000","7958","2023-07-16"
"Ajo importado","Neiva, Surabastos","7200","9500","7944","2023-07-16"
"Ajo importado","Palmira (Valle del Cauca)","7500","7600","7513","2023-07-16"
"Ajo importado","Pasto, El Potrerillo","7000","7500","7342","2023-07-16"
"Ajo importado","Pereira, La 41","9000","9500","9250","2023-07-16"
"Ajo importado","Pereira, Mercasa","7600","8500","7908","2023-07-16"
"Ajo importado","Popayán, Plaza de mercado del barrio Bolívar","7800","8000","7900","2023-07-16"
"Ajo importado","Sincelejo, Nuevo Mercado","7000","7500","7225","2023-07-16"
"Ajo importado","Tuluá (Valle del Cauca)","8200","9000","8583","2023-07-16"
"Ajo importado","Valledupar, Mercabastos","7500","7800","7525","2023-07-16"
"Apio","Arauca (Arauca)","1667","2083","1833","2023-07-16"
"Apio","Armenia, Mercar","1400","1800","1617","2023-07-16"
"Apio","Barranquilla, Barranquillita","1700","1900","1825","2023-07-16"
"Apio","Barranquilla, Granabastos","1900","2000","1975","2023-07-16"
"Apio","Bogotá, D.C., Corabastos","2000","2500","2258","2023-07-16"
"Apio","Bucaramanga, Centroabastos","700","1000","806","2023-07-16"
"Apio","Cali, Cavasa","1647","2353","1979","2023-07-16"
"Apio","Cali, Santa Helena","1941","2000","1971","2023-07-16"
"Apio","Cartagena, Bazurto","1800","2000","1944","2023-07-16"
"Apio","Cartago (Valle del Cauca)","2400","2560","2453","2023-07-16"
"Apio","Chiquinquirá (Boyacá)","1000","1100","1017","2023-07-16"
"Apio","Cúcuta, Cenabastos","933","1200","1089","2023-07-16"
"Apio","Ibagué, Plaza La 21","1920","2400","2062","2023-07-16"
"Apio","Ipiales (Nariño), Ipiales somos todos","1500","2000","1806","2023-07-16"
"Apio","Manizales, Centro Galerías","2400","2880","2587","2023-07-16"
"Apio","Marinilla (Antioquia)","700","1000","842","2023-07-16"
"Apio","Medellín, Central Mayorista de Antioquia","1200","2000","1531","2023-07-16"
"Apio","Medellín, Plaza Minorista ""José María Villa""","1200","1500","1333","2023-07-16"
"Apio","Montería, Mercado del Sur","1000","1500","1308","2023-07-16"
"Apio","Neiva, Surabastos","2000","2600","2321","2023-07-16"
"Apio","Palmira (Valle del Cauca)","2500","2667","2556","2023-07-16"
"Apio","Pamplona (Norte de Santander)","1167","1250","1208","2023-07-16"
"Apio","Pereira, La 41","2500","2917","2653","2023-07-16"
"Apio","Pereira, Mercasa","2500","3167","2847","2023-07-16"
"Apio","Rionegro (Antioquia)","1000","1600","1300","2023-07-16"
"Apio","Santa Marta (Magdalena)","2267","2933","2440","2023-07-16"
"Apio","Sincelejo, Nuevo Mercado","1200","1600","1500","2023-07-16"
"Apio","Tibasosa (Boyacá), Coomproriente","1200","1250","1219","2023-07-16"
"Apio","Tuluá (Valle del Cauca)","2167","2500","2333","2023-07-16"
"Apio","Tunja, Complejo de Servicios del Sur","1350","1500","1444","2023-07-16"
"Apio","Valledupar, Mercabastos","1667","2333","1983","2023-07-16"
"Apio","Villavicencio, CAV","2000","2800","2375","2023-07-16"
"Arveja verde en vaina","Arauca (Arauca)","6087","6522","6304","2023-07-16"
"Arveja verde en vaina","Armenia, Mercar","6640","7360","7040","2023-07-16"
"Arveja verde en vaina","Barranquilla, Barranquillita","10800","11200","10989","2023-07-16"
"Arveja verde en vaina","Barranquilla, Granabastos","9800","10000","9900","2023-07-16"
"Arveja verde en vaina","Bogotá, D.C., Corabastos","7200","8400","7969","2023-07-16"
"Arveja verde en vaina","Bucaramanga, Centroabastos","4800","6200","5531","2023-07-16"
"Arveja verde en vaina","Cartago (Valle del Cauca)","7600","7600","7600","2023-07-16"
"Arveja verde en vaina","Chiquinquirá (Boyacá)","6800","7200","6967","2023-07-16"
"Arveja verde en vaina","Cúcuta, Cenabastos","5500","7000","6177","2023-07-16"
"Arveja verde en vaina","Duitama (Boyacá)","6000","6300","6125","2023-07-16"
"Arveja verde en vaina","El Carmen de Viboral (Antioquia)","5000","5200","5100","2023-07-16"
"Arveja verde en vaina","El Santuario (Antioquia)","6000","6000","6000","2023-07-16"
"Arveja verde en vaina","Ibagué, Plaza La 21","6000","7200","6664","2023-07-16"
"Arveja verde en vaina","La Ceja (Antioquia)","5000","6500","5875","2023-07-16"
"Arveja verde en vaina","Manizales, Centro Galerías","7000","7500","7167","2023-07-16"
"Arveja verde en vaina","Marinilla (Antioquia)","5500","7000","6292","2023-07-16"
"Arveja verde en vaina","Medellín, Central Mayorista de Antioquia","4500","7000","5806","2023-07-16"
"Arveja verde en vaina","Medellín, Plaza Minorista ""José María Villa""","4500","7500","6133","2023-07-16"
"Arveja verde en vaina","Neiva, Surabastos","6400","8000","7050","2023-07-16"
"Arveja verde en vaina","Palmira (Valle del Cauca)","6800","6800","6800","2023-07-16"
"Arveja verde en vaina","Pamplona (Norte de Santander)","5000","6667","5602","2023-07-16"
"Arveja verde en vaina","Pereira, La 41","6400","6800","6600","2023-07-16"
"Arveja verde en vaina","Pereira, Mercasa","6880","7600","7260","2023-07-16"
"Arveja verde en vaina","Rionegro (Antioquia)","7000","8000","7563","2023-07-16"
"Arveja verde en vaina","San Gil (Santander)","5600","6000","5867","2023-07-16"
"Arveja verde en vaina","San Vicente (Antioquia)","4500","5000","4750","2023-07-16"
"Arveja verde en vaina","Socorro (Santander)","5200","5600","5467","2023-07-16"
"Arveja verde en vaina","Sonsón (Antioquia)","6333","7000","6721","2023-07-16"
"Arveja verde en vaina","Tibasosa (Boyacá), Coomproriente","6000","6600","6325","2023-07-16"
"Arveja verde en vaina","Tuluá (Valle del Cauca)","6800","7600","7200","2023-07-16"
"Arveja verde en vaina","Tunja, Complejo de Servicios del Sur","5800","6800","6283","2023-07-16"
"Arveja verde en vaina","Villavicencio, CAV","7000","8000","7550","2023-07-16"
"Arveja verde en vaina","Yopal (Casanare)","7396","7500","7448","2023-07-16"
"Arveja verde en vaina pastusa","Cali, Cavasa","7200","7600","7400","2023-07-16"
"Arveja verde en vaina pastusa","Cali, Santa Helena","7000","7400","7200","2023-07-16"
"Arveja verde en vaina pastusa","La Unión (Nariño)","5600","6000","5800","2023-07-16"
"Arveja verde en vaina pastusa","Medellín, Central Mayorista de Antioquia","4000","4000","4000","2023-07-16"
"Arveja verde en vaina pastusa","Pasto, El Potrerillo","5800","6000","5967","2023-07-16"
"Arveja verde en vaina pastusa","Popayán, Plaza de mercado del barrio Bolívar","6600","6800","6692","2023-07-16"
"Berenjena","Barranquilla, Barranquillita","950","1050","989","2023-07-16"
"Berenjena","Bogotá, D.C., Corabastos","2200","3400","3068","2023-07-16"
"Berenjena","Manizales, Centro Galerías","2500","2500","2500","2023-07-16"
"Berenjena","Medellín, Central Mayorista de Antioquia","1800","2500","2050","2023-07-16"
"Berenjena","Montería, Mercado del Sur","1250","1500","1354","2023-07-16"
"Berenjena","Sincelejo, Nuevo Mercado","1000","1083","1028","2023-07-16"
"Brócoli","Armenia, Mercar","2800","3600","3267","2023-07-16"
"Brócoli","Barranquilla, Barranquillita","6800","7000","6889","2023-07-16"
"Brócoli","Barranquilla, Granabastos","7000","8000","7513","2023-07-16"
"Brócoli","Bogotá, D.C., Corabastos","3300","5000","4335","2023-07-16"
"Brócoli","Bucaramanga, Centroabastos","3500","4000","3788","2023-07-16"
"Brócoli","Cali, Cavasa","2800","3000","2900","2023-07-16"
"Brócoli","Cali, Santa Helena","3000","3500","3267","2023-07-16"
"Brócoli","Chiquinquirá (Boyacá)","2000","2500","2267","2023-07-16"
"Brócoli","Cúcuta, Cenabastos","3000","3500","3417","2023-07-16"
"Brócoli","Duitama (Boyacá)","1800","2000","1933","2023-07-16"
"Brócoli","Ibagué, Plaza La 21","2000","3000","2639","2023-07-16"
