"X1","X2","X3","X4","X5","Fecha"
"Acelga","Armenia, Mercar","1333","1467","1378","2023-09-23"
"Acelga","Barranquilla, Barranquillita","5000","5000","5000","2023-09-23"
"Acelga","Bogotá, D.C., Corabastos","467","800","583","2023-09-23"
"Acelga","Bucaramanga, Centroabastos","2000","2000","2000","2023-09-23"
"Acelga","Chiquinquirá (Boyacá)","1500","1800","1667","2023-09-23"
"Acelga","Duitama (Boyacá), Mercaplaza","1500","1800","1700","2023-09-23"
"Acelga","Florencia (Caquetá)","2400","2500","2433","2023-09-23"
"Acelga","Ibagué, Plaza La 21","1360","2000","1600","2023-09-23"
"Acelga","Ipiales (Nariño), Ipiales somos todos","2000","3000","2500","2023-09-23"
"Acelga","Medellín, Central Mayorista de Antioquia","1800","2300","2075","2023-09-23"
"Acelga","Neiva, Surabastos","1625","2500","2125","2023-09-23"
"Acelga","Pamplona (Norte de Santander)","3000","4000","3500","2023-09-23"
"Acelga","Pasto, El Potrerillo","4500","5000","4542","2023-09-23"
"Acelga","Pereira, Mercasa","3000","3000","3000","2023-09-23"
"Acelga","Tibasosa (Boyacá), Coomproriente","2000","2000","2000","2023-09-23"
"Acelga","Tunja, Complejo de Servicios del Sur","1600","2000","1883","2023-09-23"
"Acelga","Villavicencio, CAV","1800","2200","2000","2023-09-23"
"Acelga","Yopal (Casanare)","2000","2000","2000","2023-09-23"
"Ahuyama","Armenia, Mercar","1200","1300","1267","2023-09-23"
"Ahuyama","Bogotá, D.C., Corabastos","2500","2800","2661","2023-09-23"
"Ahuyama","Bucaramanga, Centroabastos","1400","1500","1475","2023-09-23"
"Ahuyama","Buenaventura (Valle del Cauca)","1800","2000","1917","2023-09-23"
"Ahuyama","Cali, Cavasa","1300","1400","1313","2023-09-23"
"Ahuyama","Cali, Santa Elena","1200","1300","1225","2023-09-23"
"Ahuyama","Cartago (Valle del Cauca)","1400","1500","1467","2023-09-23"
"Ahuyama","Cúcuta, Cenabastos","1500","1600","1542","2023-09-23"
"Ahuyama","Duitama (Boyacá), Mercaplaza","1250","1313","1271","2023-09-23"
"Ahuyama","Ibagué, Plaza La 21","1500","1800","1656","2023-09-23"
"Ahuyama","Manizales, Centro Galerías","1300","1300","1300","2023-09-23"
"Ahuyama","Medellín, Central Mayorista de Antioquia","1200","1300","1254","2023-09-23"
"Ahuyama","Medellín, Plaza Minorista ""José María Villa""","1300","1400","1325","2023-09-23"
"Ahuyama","Palmira (Valle del Cauca)","1400","1500","1425","2023-09-23"
"Ahuyama","Pamplona (Norte de Santander)","1300","1500","1433","2023-09-23"
"Ahuyama","Pereira, La 41","1700","2000","1800","2023-09-23"
"Ahuyama","Pereira, Mercasa","1200","1500","1400","2023-09-23"
"Ahuyama","Popayán, Plaza de mercado del barrio Bolívar","1900","1960","1925","2023-09-23"
"Ahuyama","San Gil (Santander)","1300","1300","1300","2023-09-23"
"Ahuyama","Sincelejo, Nuevo Mercado","2000","2100","2017","2023-09-23"
"Ahuyama","Socorro (Santander)","1500","1500","1500","2023-09-23"
"Ahuyama","Tibasosa (Boyacá), Coomproriente","900","1000","913","2023-09-23"
"Ahuyama","Tuluá (Valle del Cauca)","1300","1400","1350","2023-09-23"
"Ahuyama","Tunja, Complejo de Servicios del Sur","781","938","911","2023-09-23"
"Ahuyama","Valledupar, Mercabastos","2000","2200","2125","2023-09-23"
"Ahuyama","Yopal (Casanare)","1000","1200","1100","2023-09-23"
"Ahuyamín (Sakata)","Arauca (Arauca)","1400","1560","1500","2023-09-23"
"Ahuyamín (Sakata)","Bogotá, D.C., Corabastos","1800","2000","1906","2023-09-23"
"Ahuyamín (Sakata)","Bucaramanga, Centroabastos","800","900","836","2023-09-23"
"Ahuyamín (Sakata)","Chiquinquirá (Boyacá)","2000","2400","2275","2023-09-23"
"Ahuyamín (Sakata)","Duitama (Boyacá), Mercaplaza","1900","2000","1933","2023-09-23"
"Ahuyamín (Sakata)","Florencia (Caquetá)","2000","2240","2107","2023-09-23"
"Ahuyamín (Sakata)","Ibagué, Plaza La 21","2000","2000","2000","2023-09-23"
"Ahuyamín (Sakata)","Neiva, Surabastos","2000","2240","2020","2023-09-23"
"Ahuyamín (Sakata)","Pamplona (Norte de Santander)","1300","1500","1433","2023-09-23"
"Ahuyamín (Sakata)","San Gil (Santander)","1400","1400","1400","2023-09-23"
"Ahuyamín (Sakata)","Tibasosa (Boyacá), Coomproriente","1500","1700","1613","2023-09-23"
"Ahuyamín (Sakata)","Tunja, Complejo de Servicios del Sur","1600","2000","1831","2023-09-23"
"Ahuyamín (Sakata)","Villavicencio, CAV","2000","2200","2167","2023-09-23"
"Ahuyamín (Sakata)","Yopal (Casanare)","1800","1800","1800","2023-09-23"
"Ají topito dulce","Cartagena, Bazurto","3000","4500","3750","2023-09-23"
"Ají topito dulce","Medellín, Central Mayorista de Antioquia","2800","3000","2900","2023-09-23"
"Ají topito dulce","Montería, Mercado del Sur","4250","4500","4417","2023-09-23"
"Ají topito dulce","Sincelejo, Nuevo Mercado","2500","3750","3271","2023-09-23"
"Ajo","Bogotá, D.C., Corabastos","11000","16000","12625","2023-09-23"
"Ajo","Chiquinquirá (Boyacá)","6000","6000","6000","2023-09-23"
"Ajo","Cúcuta, Cenabastos","5000","6000","5458","2023-09-23"
"Ajo","Duitama (Boyacá), Mercaplaza","5000","5500","5333","2023-09-23"
"Ajo","Ipiales (Nariño), Ipiales somos todos","7000","8000","7611","2023-09-23"
"Ajo","Manizales, Centro Galerías","7500","8750","8125","2023-09-23"
"Ajo","Medellín, Central Mayorista de Antioquia","12500","15000","14438","2023-09-23"
"Ajo","Pamplona (Norte de Santander)","4000","6000","4917","2023-09-23"
"Ajo","Pasto, El Potrerillo","7500","8000","7667","2023-09-23"
"Ajo","Pereira, La 41","9444","10000","9870","2023-09-23"
"Ajo","Pereira, Mercasa","7778","9778","8648","2023-09-23"
"Ajo","San Gil (Santander)","12000","12000","12000","2023-09-23"
"Ajo","Tibasosa (Boyacá), Coomproriente","5200","5600","5400","2023-09-23"
"Ajo","Tunja, Complejo de Servicios del Sur","4800","5800","5289","2023-09-23"
"Ajo","Túquerres (Nariño)","8000","8000","8000","2023-09-23"
"Ajo","Villavicencio, CAV","5000","6500","5875","2023-09-23"
"Ajo","Yopal (Casanare)","7500","8000","7750","2023-09-23"
"Ajo importado","Arauca (Arauca)","7200","7900","7550","2023-09-23"
"Ajo importado","Armenia, Mercar","11000","12000","11278","2023-09-23"
"Ajo importado","Barranquilla, Barranquillita","6500","6700","6567","2023-09-23"
"Ajo importado","Barranquilla, Granabastos","6500","6600","6567","2023-09-23"
"Ajo importado","Bogotá, D.C., Corabastos","6500","7500","6965","2023-09-23"
"Ajo importado","Bucaramanga, Centroabastos","7000","7500","7313","2023-09-23"
"Ajo importado","Buenaventura (Valle del Cauca)","7400","8000","7617","2023-09-23"
"Ajo importado","Cali, Cavasa","6500","7000","6656","2023-09-23"
"Ajo importado","Cali, Santa Elena","6000","6500","6250","2023-09-23"
"Ajo importado","Cartagena, Bazurto","6500","6500","6500","2023-09-23"
"Ajo importado","Cartago (Valle del Cauca)","6500","7000","6850","2023-09-23"
"Ajo importado","Cúcuta, Cenabastos","7000","7500","7250","2023-09-23"
"Ajo importado","Ibagué, Plaza La 21","7000","8000","7500","2023-09-23"
"Ajo importado","Ipiales (Nariño), Ipiales somos todos","6500","6800","6611","2023-09-23"
"Ajo importado","Manizales, Centro Galerías","7500","8000","7667","2023-09-23"
"Ajo importado","Medellín, Central Mayorista de Antioquia","6500","6500","6500","2023-09-23"
"Ajo importado","Medellín, Plaza Minorista ""José María Villa""","6000","6500","6325","2023-09-23"
"Ajo importado","Montería, Mercado del Sur","6300","7000","6758","2023-09-23"
"Ajo importado","Neiva, Surabastos","6500","7000","6831","2023-09-23"
"Ajo importado","Palmira (Valle del Cauca)","6500","6800","6538","2023-09-23"
"Ajo importado","Pasto, El Potrerillo","6300","6800","6608","2023-09-23"
"Ajo importado","Pereira, La 41","7000","8500","7700","2023-09-23"
"Ajo importado","Pereira, Mercasa","6500","7000","6858","2023-09-23"
"Ajo importado","Popayán, Plaza de mercado del barrio Bolívar","6800","7200","7025","2023-09-23"
"Ajo importado","Sincelejo, Nuevo Mercado","6400","6700","6522","2023-09-23"
"Ajo importado","Tuluá (Valle del Cauca)","7000","7300","7183","2023-09-23"
"Ajo importado","Valledupar, Mercabastos","6400","6500","6475","2023-09-23"
"Apio","Arauca (Arauca)","2500","2500","2500","2023-09-23"
