"X1","X2","X3","X4","X5","Fecha"
"Acelga","Armenia, Mercar","1600","1867","1689","2023-07-29"
"Acelga","Bogotá, D.C., Corabastos","1000","2000","1401","2023-07-29"
"Acelga","Bucaramanga, Centroabastos","2000","2000","2000","2023-07-29"
"Acelga","Chiquinquirá (Boyacá)","2000","2500","2383","2023-07-29"
"Acelga","Duitama (Boyacá), Mercaplaza","1400","1500","1433","2023-07-29"
"Acelga","Florencia (Caquetá)","3000","3200","3100","2023-07-29"
"Acelga","Ibagué, Plaza La 21","1840","2240","2036","2023-07-29"
"Acelga","Ipiales (Nariño), Ipiales somos todos","2000","2000","2000","2023-07-29"
"Acelga","Medellín, Central Mayorista de Antioquia","2000","3000","2594","2023-07-29"
"Acelga","Neiva, Surabastos","2750","3750","3172","2023-07-29"
"Acelga","Pamplona (Norte de Santander)","3000","3000","3000","2023-07-29"
"Acelga","Pasto, El Potrerillo","4000","4500","4292","2023-07-29"
"Acelga","Pereira, Mercasa","2500","3000","2833","2023-07-29"
"Acelga","Tibasosa (Boyacá), Coomproriente","1700","2000","1913","2023-07-29"
"Acelga","Tunja, Complejo de Servicios del Sur","1800","2200","1989","2023-07-29"
"Acelga","Villavicencio, CAV","2000","3000","2500","2023-07-29"
"Acelga","Yopal (Casanare)","2000","2000","2000","2023-07-29"
"Ahuyama","Armenia, Mercar","1200","1300","1267","2023-07-29"
"Ahuyama","Bogotá, D.C., Corabastos","1800","2100","1931","2023-07-29"
"Ahuyama","Bucaramanga, Centroabastos","1200","1300","1225","2023-07-29"
"Ahuyama","Buenaventura (Valle del Cauca)","1900","2000","1967","2023-07-29"
"Ahuyama","Cali, Cavasa","1400","1400","1400","2023-07-29"
"Ahuyama","Cali, Santa Elena","1300","1400","1325","2023-07-29"
"Ahuyama","Cartago (Valle del Cauca)","1600","1800","1717","2023-07-29"
"Ahuyama","Cúcuta, Cenabastos","1400","1500","1479","2023-07-29"
"Ahuyama","Duitama (Boyacá), Mercaplaza","1094","1250","1177","2023-07-29"
"Ahuyama","Ibagué, Plaza La 21","1500","1700","1522","2023-07-29"
"Ahuyama","Manizales, Centro Galerías","1500","1500","1500","2023-07-29"
"Ahuyama","Medellín, Central Mayorista de Antioquia","1000","1200","1125","2023-07-29"
"Ahuyama","Medellín, Plaza Minorista ""José María Villa""","900","1100","1042","2023-07-29"
