"X1","X2","X3","X4","X5","Fecha"
"Acelga","Armenia, Mercar","1333","1667","1500","2023-09-16"
"Acelga","Barranquilla, Barranquillita","5000","5000","5000","2023-09-16"
"Acelga","Bogotá, D.C., Corabastos","533","800","613","2023-09-16"
"Acelga","Bucaramanga, Centroabastos","2000","2000","2000","2023-09-16"
"Acelga","Chiquinquirá (Boyacá)","1500","1800","1683","2023-09-16"
"Acelga","Duitama (Boyacá), Mercaplaza","1200","1300","1267","2023-09-16"
"Acelga","Florencia (Caquetá)","2400","2500","2433","2023-09-16"
"Acelga","Ibagué, Plaza La 21","1280","1920","1538","2023-09-16"
"Acelga","Medellín, Central Mayorista de Antioquia","1800","2000","1900","2023-09-16"
"Acelga","Neiva, Surabastos","2250","2750","2333","2023-09-16"
"Acelga","Pamplona (Norte de Santander)","2000","3000","2500","2023-09-16"
"Acelga","Pasto, El Potrerillo","4500","5000","4708","2023-09-16"
"Acelga","Pereira, Mercasa","2500","3000","2808","2023-09-16"
"Acelga","Tibasosa (Boyacá), Coomproriente","2000","2000","2000","2023-09-16"
"Acelga","Tunja, Complejo de Servicios del Sur","1800","2200","1967","2023-09-16"
"Acelga","Villavicencio, CAV","2000","2500","2233","2023-09-16"
"Acelga","Yopal (Casanare)","1800","2000","1900","2023-09-16"
"Ahuyama","Armenia, Mercar","1200","1300","1267","2023-09-16"
"Ahuyama","Bogotá, D.C., Corabastos","2300","2700","2576","2023-09-16"
"Ahuyama","Bucaramanga, Centroabastos","1400","1500","1466","2023-09-16"
"Ahuyama","Buenaventura (Valle del Cauca)","1800","2000","1933","2023-09-16"
"Ahuyama","Cali, Cavasa","1300","1400","1325","2023-09-16"
"Ahuyama","Cali, Santa Elena","1100","1300","1200","2023-09-16"
"Ahuyama","Cartago (Valle del Cauca)","1400","1600","1538","2023-09-16"
"Ahuyama","Cúcuta, Cenabastos","1500","1600","1531","2023-09-16"
"Ahuyama","Duitama (Boyacá), Mercaplaza","1250","1406","1302","2023-09-16"
"Ahuyama","Ibagué, Plaza La 21","1500","2000","1900","2023-09-16"
"Ahuyama","Manizales, Centro Galerías","1300","1300","1300","2023-09-16"
"Ahuyama","Medellín, Central Mayorista de Antioquia","1200","1300","1248","2023-09-16"
"Ahuyama","Medellín, Plaza Minorista ""José María Villa""","1300","1400","1308","2023-09-16"
"Ahuyama","Montería, Mercado del Sur","1200","1600","1322","2023-09-16"
"Ahuyama","Palmira (Valle del Cauca)","1400","1500","1463","2023-09-16"
"Ahuyama","Pamplona (Norte de Santander)","1300","1500","1433","2023-09-16"
"Ahuyama","Pereira, La 41","1600","2000","1767","2023-09-16"
"Ahuyama","Pereira, Mercasa","1400","1600","1492","2023-09-16"
"Ahuyama","Popayán, Plaza de mercado del barrio Bolívar","1900","2000","1973","2023-09-16"
"Ahuyama","San Gil (Santander)","1300","1300","1300","2023-09-16"
"Ahuyama","Sincelejo, Nuevo Mercado","2000","2000","2000","2023-09-16"
"Ahuyama","Socorro (Santander)","1500","1500","1500","2023-09-16"
"Ahuyama","Tibasosa (Boyacá), Coomproriente","900","1100","1000","2023-09-16"
"Ahuyama","Tuluá (Valle del Cauca)","1300","1400","1333","2023-09-16"
"Ahuyama","Tunja, Complejo de Servicios del Sur","781","938","899","2023-09-16"
"Ahuyama","Valledupar, Mercabastos","2000","2200","2075","2023-09-16"
"Ahuyama","Yopal (Casanare)","1000","1200","1100","2023-09-16"
"Ahuyamín (Sakata)","Arauca (Arauca)","1200","1560","1400","2023-09-16"
"Ahuyamín (Sakata)","Bogotá, D.C., Corabastos","1600","2000","1869","2023-09-16"
"Ahuyamín (Sakata)","Bucaramanga, Centroabastos","800","900","835","2023-09-16"
