"X1","X2","X3","X4","X5","Fecha"
"Acelga","Armenia, Mercar","1133","1133","1133","2023-03-18"
"Acelga","Barranquilla, Barranquillita","4000","4000","4000","2023-03-18"
"Acelga","Bogotá, D.C., Corabastos","400","667","500","2023-03-18"
"Acelga","Bucaramanga, Centroabastos","2000","2000","2000","2023-03-18"
"Acelga","Chiquinquirá (Boyacá)","1200","1500","1333","2023-03-18"
"Acelga","Duitama (Boyacá), Mercaplaza","1000","1000","1000","2023-03-18"
"Acelga","Florencia (Caquetá)","2000","2000","2000","2023-03-18"
"Acelga","Ibagué, Plaza La 21","1120","1440","1298","2023-03-18"
"Acelga","Ipiales (Nariño), Ipiales somos todos","1500","2000","1778","2023-03-18"
"Acelga","Medellín, Central Mayorista de Antioquia","1800","2000","1896","2023-03-18"
"Acelga","Neiva, Surabastos","1875","2000","1990","2023-03-18"
"Acelga","Pamplona (Norte de Santander)","2000","2000","2000","2023-03-18"
"Acelga","Pasto, El Potrerillo","3500","3500","3500","2023-03-18"
"Acelga","Pereira, Mercasa","2000","3000","2500","2023-03-18"
"Acelga","Tibasosa (Boyacá), Coomproriente","1500","1500","1500","2023-03-18"
"Acelga","Tunja, Complejo de Servicios del Sur","1500","1800","1622","2023-03-18"
"Acelga","Villavicencio, CAV","1500","1600","1567","2023-03-18"
"Acelga","Yopal (Casanare)","2000","2000","2000","2023-03-18"
"Ahuyama","Armenia, Mercar","800","1000","878","2023-03-18"
"Ahuyama","Bogotá, D.C., Corabastos","1200","2000","1366","2023-03-18"
"Ahuyama","Bucaramanga, Centroabastos","800","1000","913","2023-03-18"
"Ahuyama","Buenaventura (Valle del Cauca)","1400","1600","1500","2023-03-18"
"Ahuyama","Cali, Cavasa","900","1000","938","2023-03-18"
"Ahuyama","Cali, Santa Elena","900","1000","988","2023-03-18"
"Ahuyama","Cartagena, Bazurto","1800","2000","1867","2023-03-18"
"Ahuyama","Cartago (Valle del Cauca)","1100","1300","1213","2023-03-18"
"Ahuyama","Cúcuta, Cenabastos","1000","1000","1000","2023-03-18"
"Ahuyama","Duitama (Boyacá), Mercaplaza","875","938","896","2023-03-18"
"Ahuyama","Ibagué, Plaza La 21","900","1100","997","2023-03-18"
"Ahuyama","Manizales, Centro Galerías","1200","1300","1233","2023-03-18"
"Ahuyama","Medellín, Central Mayorista de Antioquia","700","900","767","2023-03-18"
"Ahuyama","Medellín, Plaza Minorista ""José María Villa""","900","1100","1027","2023-03-18"
"Ahuyama","Palmira (Valle del Cauca)","1200","1300","1263","2023-03-18"
"Ahuyama","Pamplona (Norte de Santander)","1000","1500","1233","2023-03-18"
"Ahuyama","Pereira, La 41","1000","1300","1150","2023-03-18"
"Ahuyama","Pereira, Mercasa","1000","1200","1117","2023-03-18"
"Ahuyama","Popayán, Plaza de mercado del barrio Bolívar","1360","1400","1385","2023-03-18"
