"X1","X2","X3","X4","X5","Fecha"
"Acelga","Armenia, Mercar","1200","1333","1244","2023-06-24"
"Acelga","Bogotá, D,C,, Corabastos","867","1667","1358","2023-06-24"
"Acelga","Bucaramanga, Centroabastos","2000","2000","2000","2023-06-24"
"Acelga","Chiquinquirá (Boyacá)","1800","2000","1933","2023-06-24"
"Acelga","Duitama (Boyacá), Mercaplaza","1000","1100","1033","2023-06-24"
"Acelga","Florencia (Caquetá)","2700","3000","2850","2023-06-24"
"Acelga","Ibagué, Plaza La 21","1760","2400","1987","2023-06-24"
"Acelga","Ipiales (Nariño), Ipiales somos todos","2000","3000","2250","2023-06-24"
"Acelga","Medellín, Central Mayorista de Antioquia","2000","2300","2095","2023-06-24"
"Acelga","Neiva, Surabastos","2875","3125","3083","2023-06-24"
"Acelga","Pamplona (Norte de Santander)","2000","2000","2000","2023-06-24"
"Acelga","Pasto, El Potrerillo","2500","3500","3042","2023-06-24"
"Acelga","Pereira, Mercasa","2500","3000","2667","2023-06-24"
"Acelga","Tibasosa (Boyacá), Coomproriente","1500","1500","1500","2023-06-24"
"Acelga","Tunja, Complejo de Servicios del Sur","1800","2000","1900","2023-06-24"
"Acelga","Villavicencio, CAV","2000","2000","2000","2023-06-24"
"Acelga","Yopal (Casanare)","2000","2000","2000","2023-06-24"
"Ahuyama","Armenia, Mercar","1100","1300","1217","2023-06-24"
"Ahuyama","Barranquilla, Granabastos","1429","1514","1462","2023-06-24"
"Ahuyama","Bogotá, D,C,, Corabastos","1800","2200","1937","2023-06-24"
"Ahuyama","Bucaramanga, Centroabastos","1100","1300","1175","2023-06-24"
"Ahuyama","Buenaventura (Valle del Cauca)","1600","1800","1700","2023-06-24"
"Ahuyama","Cali, Cavasa","1200","1400","1300","2023-06-24"
"Ahuyama","Cali, Santa Elena","1000","1300","1150","2023-06-24"
"Ahuyama","Cartago (Valle del Cauca)","1300","1400","1333","2023-06-24"
"Ahuyama","Cúcuta, Cenabastos","1000","1400","1175","2023-06-24"
"Ahuyama","Duitama (Boyacá), Mercaplaza","1094","1250","1146","2023-06-24"
"Ahuyama","Ibagué, Plaza La 21","1300","1500","1367","2023-06-24"
"Ahuyama","Manizales, Centro Galerías","1500","1500","1500","2023-06-24"
"Ahuyama","Medellín, Central Mayorista de Antioquia","900","1200","1005","2023-06-24"
"Ahuyama","Medellín, Plaza Minorista ""José María Villa""","1000","1200","1095","2023-06-24"
"Ahuyama","Montería, Mercado del Sur","960","1000","990","2023-06-24"
"Ahuyama","Palmira (Valle del Cauca)","1300","1400","1350","2023-06-24"
"Ahuyama","Pamplona (Norte de Santander)","1500","1500","1500","2023-06-24"
"Ahuyama","Pereira, La 41","1300","1400","1333","2023-06-24"
"Ahuyama","Pereira, Mercasa","1200","1500","1344","2023-06-24"
"Ahuyama","Popayán, Plaza de mercado del barrio Bolívar","1360","1400","1380","2023-06-24"
"Ahuyama","San Gil (Santander)","1100","1100","1100","2023-06-24"
"Ahuyama","Sincelejo, Nuevo Mercado","1300","1600","1483","2023-06-24"
