"X1","X2","X3","X4","X5","Fecha"
"Acelga","Armenia, Mercar","1200","1400","1311","2023-04-30"
"Acelga","Barranquilla, Barranquillita","4000","4000","4000","2023-04-30"
"Acelga","Bogotá, D.C., Corabastos","700","1200","907","2023-04-30"
"Acelga","Bucaramanga, Centroabastos","1600","2000","1825","2023-04-30"
"Acelga","Chiquinquirá (Boyacá)","1000","1200","1133","2023-04-30"
"Acelga","Duitama (Boyacá)","900","1000","967","2023-04-30"
"Acelga","Ibagué, Plaza La 21","1120","1600","1338","2023-04-30"
"Acelga","Ipiales (Nariño), Ipiales somos todos","1500","2000","1938","2023-04-30"
"Acelga","Medellín, Central Mayorista de Antioquia","1000","1000","1000","2023-04-30"
"Acelga","Neiva, Surabastos","1250","2250","1688","2023-04-30"
"Acelga","Pamplona (Norte de Santander)","2500","3000","2750","2023-04-30"
"Acelga","Pasto, El Potrerillo","3000","4000","3625","2023-04-30"
"Acelga","Pereira, Mercasa","2000","2000","2000","2023-04-30"
"Acelga","Tibasosa (Boyacá), Coomproriente","1000","1000","1000","2023-04-30"
"Acelga","Tunja, Complejo de Servicios del Sur","1000","1300","1133","2023-04-30"
"Acelga","Villavicencio, CAV","1200","1600","1506","2023-04-30"
"Ahuyama","Armenia, Mercar","600","600","600","2023-04-30"
"Ahuyama","Barranquilla, Barranquillita","714","800","745","2023-04-30"
"Ahuyama","Barranquilla, Granabastos","714","786","765","2023-04-30"
"Ahuyama","Bogotá, D.C., Corabastos","1500","1600","1528","2023-04-30"
"Ahuyama","Bucaramanga, Centroabastos","800","900","850","2023-04-30"
"Ahuyama","Buenaventura (Valle del Cauca)","1500","1700","1600","2023-04-30"
"Ahuyama","Cali, Cavasa","1300","1400","1375","2023-04-30"
"Ahuyama","Cali, Santa Helena","1000","1100","1067","2023-04-30"
"Ahuyama","Cartagena, Bazurto","900","1200","1011","2023-04-30"
"Ahuyama","Cartago (Valle del Cauca)","1200","1300","1233","2023-04-30"
"Ahuyama","Cúcuta, Cenabastos","1200","1200","1200","2023-04-30"
"Ahuyama","Duitama (Boyacá)","1031","1094","1073","2023-04-30"
"Ahuyama","Ibagué, Plaza La 21","800","1200","933","2023-04-30"
"Ahuyama","Manizales, Centro Galerías","1200","1300","1250","2023-04-30"
"Ahuyama","Medellín, Central Mayorista de Antioquia","700","900","798","2023-04-30"
"Ahuyama","Medellín, Plaza Minorista ""José María Villa""","800","1000","900","2023-04-30"
"Ahuyama","Montería, Mercado del Sur","540","740","667","2023-04-30"
