"X1","X2","X3","X4","X5","Fecha"
"Acelga","Armenia, Mercar","1067","1400","1233","2023-09-18"
"Acelga","Barranquilla, Barranquillita","4000","4000","4000","2023-09-18"
"Acelga","Bogotá, D.C., Corabastos","800","1200","965","2023-09-18"
"Acelga","Bucaramanga, Centroabastos","1000","1500","1292","2023-09-18"
"Acelga","Chiquinquirá (Boyacá)","1200","1400","1333","2023-09-18"
"Acelga","Duitama (Boyacá)","1000","1000","1000","2023-09-18"
"Acelga","Ibagué, Plaza La 21","1120","1600","1283","2023-09-18"
"Acelga","Ipiales (Nariño), Ipiales somos todos","1000","1500","1389","2023-09-18"
"Acelga","Medellín, Central Mayorista de Antioquia","1500","2000","1558","2023-09-18"
"Acelga","Neiva, Surabastos","1250","1625","1385","2023-09-18"
"Acelga","Pamplona (Norte de Santander)","2000","2000","2000","2023-09-18"
"Acelga","Pasto, El Potrerillo","1750","2000","1938","2023-09-18"
"Acelga","Pereira, Mercasa","1500","2000","1825","2023-09-18"
"Acelga","Sogamoso (Boyacá)","1000","1000","1000","2023-09-18"
"Acelga","Tunja, Complejo de Servicios del Sur","1200","1500","1361","2023-09-18"
"Acelga","Villavicencio, CAV","1200","1800","1447","2023-09-18"
"Ahuyama","Armenia, Mercar","600","700","667","2023-09-18"
"Ahuyama","Barranquilla, Barranquillita","429","500","455","2023-09-18"
"Ahuyama","Barranquilla, Granabastos","457","486","469","2023-09-18"
"Ahuyama","Bogotá, D.C., Corabastos","800","1000","907","2023-09-18"
"Ahuyama","Bucaramanga, Centroabastos","600","700","647","2023-09-18"
"Ahuyama","Buenaventura (Valle del Cauca)","1000","1100","1017","2023-09-18"
"Ahuyama","Cali, Cavasa","700","700","700","2023-09-18"
"Ahuyama","Cali, Santa Helena","700","700","700","2023-09-18"
"Ahuyama","Cartagena, Bazurto","800","800","800","2023-09-18"
"Ahuyama","Cartago (Valle del Cauca)","800","1000","900","2023-09-18"
"Ahuyama","Cúcuta, Cenabastos","900","900","900","2023-09-18"
"Ahuyama","Duitama (Boyacá)","656","688","677","2023-09-18"
"Ahuyama","Ibagué, Plaza La 21","500","800","650","2023-09-18"
"Ahuyama","Manizales, Centro Galerías","800","1000","900","2023-09-18"
"Ahuyama","Medellín, Central Mayorista de Antioquia","600","700","650","2023-09-18"
"Ahuyama","Medellín, Plaza Minorista ""José María Villa""","600","700","650","2023-09-18"
"Ahuyama","Montería, Mercado del Sur","340","540","427","2023-09-18"
"Ahuyama","Palmira (Valle del Cauca)","900","1000","963","2023-09-18"
"Ahuyama","Pamplona (Norte de Santander)","1000","1000","1000","2023-09-18"
"Ahuyama","Pereira, La 41","800","1000","933","2023-09-18"
"Ahuyama","Pereira, Mercasa","800","1200","983","2023-09-18"
"Ahuyama","Popayán, Plaza de mercado del barrio Bolívar","600","640","615","2023-09-18"
"Ahuyama","Rionegro (Antioquia)","800","1000","867","2023-09-18"
"Ahuyama","San Gil (Santander)","700","800","733","2023-09-18"
"Ahuyama","Sincelejo, Nuevo Mercado","500","500","500","2023-09-18"
"Ahuyama","Socorro (Santander)","700","800","767","2023-09-18"
"Ahuyama","Sogamoso (Boyacá)","700","800","725","2023-09-18"
"Ahuyama","Tuluá (Valle del Cauca)","750","1000","858","2023-09-18"
"Ahuyama","Tunja, Complejo de Servicios del Sur","563","625","599","2023-09-18"
"Ahuyama","Valledupar, Mercabastos","440","560","490","2023-09-18"
"Ahuyama","Valledupar, Mercado Nuevo","400","500","489","2023-09-18"
"Ahuyama","Yopal (Casanare)","600","600","600","2023-09-18"
"Ahuyamín (Sakata)","Arauca (Arauca)","700","900","783","2023-09-18"
"Ahuyamín (Sakata)","Bogotá, D.C., Corabastos","500","560","522","2023-09-18"
"Ahuyamín (Sakata)","Bucaramanga, Centroabastos","400","440","420","2023-09-18"
"Ahuyamín (Sakata)","Duitama (Boyacá)","760","800","780","2023-09-18"
"Ahuyamín (Sakata)","Florencia (Caquetá)","1040","1040","1040","2023-09-18"
"Ahuyamín (Sakata)","Ibagué, Plaza La 21","900","1000","958","2023-09-18"
"Ahuyamín (Sakata)","Neiva, Surabastos","640","800","740","2023-09-18"
"Ahuyamín (Sakata)","Pamplona (Norte de Santander)","1000","1000","1000","2023-09-18"
"Ahuyamín (Sakata)","San Gil (Santander)","600","700","633","2023-09-18"
"Ahuyamín (Sakata)","Sogamoso (Boyacá)","600","700","667","2023-09-18"
"Ahuyamín (Sakata)","Tunja, Complejo de Servicios del Sur","560","640","600","2023-09-18"
"Ahuyamín (Sakata)","Villavicencio, CAV","700","1000","804","2023-09-18"
"Ahuyamín (Sakata)","Yopal (Casanare)","800","840","820","2023-09-18"
"Ají topito dulce","Barranquilla, Barranquillita","2000","2500","2269","2023-09-18"
"Ají topito dulce","Cartagena, Bazurto","1250","2000","1639","2023-09-18"
"Ají topito dulce","Medellín, Central Mayorista de Antioquia","2500","3000","2719","2023-09-18"
"Ají topito dulce","Montería, Mercado del Sur","1050","1625","1302","2023-09-18"
"Ají topito dulce","Sincelejo, Nuevo Mercado","750","1250","1054","2023-09-18"
"Ajo","Bogotá, D.C., Corabastos","6000","8000","7250","2023-09-18"
"Ajo","Chiquinquirá (Boyacá)","3800","4000","3967","2023-09-18"
"Ajo","Cúcuta, Cenabastos","3000","4000","3408","2023-09-18"
"Ajo","Duitama (Boyacá)","4000","4200","4133","2023-09-18"
"Ajo","Ipiales (Nariño), Ipiales somos todos","5500","6500","5972","2023-09-18"
"Ajo","Manizales, Centro Galerías","5625","7500","6563","2023-09-18"
"Ajo","Medellín, Central Mayorista de Antioquia","10000","12500","11889","2023-09-18"
"Ajo","Pamplona (Norte de Santander)","3000","3500","3333","2023-09-18"
"Ajo","Pasto, El Potrerillo","6500","7500","7083","2023-09-18"
"Ajo","Pereira, La 41","5556","6667","6241","2023-09-18"
"Ajo","Pereira, Mercasa","5556","6667","6093","2023-09-18"
"Ajo","San Gil (Santander)","4200","4500","4300","2023-09-18"
"Ajo","Sogamoso (Boyacá)","3600","3800","3650","2023-09-18"
"Ajo","Tunja, Complejo de Servicios del Sur","3000","3500","3275","2023-09-18"
"Ajo","Túquerres (Nariño)","6000","6500","6250","2023-09-18"
"Ajo","Villavicencio, CAV","3500","4500","3854","2023-09-18"
"Ajo importado","Arauca (Arauca)","5200","5700","5467","2023-09-18"
"Ajo importado","Armenia, Mercar","5700","6000","5900","2023-09-18"
"Ajo importado","Barranquilla, Barranquillita","4500","4800","4683","2023-09-18"
"Ajo importado","Barranquilla, Granabastos","4500","4700","4578","2023-09-18"
"Ajo importado","Bogotá, D.C., Corabastos","4800","5000","4996","2023-09-18"
"Ajo importado","Bucaramanga, Centroabastos","5000","5200","5050","2023-09-18"
"Ajo importado","Buenaventura (Valle del Cauca)","5400","5600","5500","2023-09-18"
"Ajo importado","Cali, Cavasa","4800","5000","4925","2023-09-18"
"Ajo importado","Cali, Santa Helena","4500","4700","4567","2023-09-18"
"Ajo importado","Cartagena, Bazurto","4400","4500","4467","2023-09-18"
"Ajo importado","Cartago (Valle del Cauca)","5400","6500","5750","2023-09-18"
"Ajo importado","Cúcuta, Cenabastos","5000","5000","5000","2023-09-18"
"Ajo importado","Ibagué, Plaza La 21","5000","5500","5271","2023-09-18"
"Ajo importado","Ipiales (Nariño), Ipiales somos todos","4500","4800","4725","2023-09-18"
"Ajo importado","Manizales, Centro Galerías","5500","6500","6083","2023-09-18"
"Ajo importado","Medellín, Central Mayorista de Antioquia","4500","5000","4708","2023-09-18"
"Ajo importado","Montería, Mercado del Sur","4500","4500","4500","2023-09-18"
"Ajo importado","Neiva, Surabastos","5000","5500","5156","2023-09-18"
"Ajo importado","Palmira (Valle del Cauca)","4800","5400","5113","2023-09-18"
"Ajo importado","Pasto, El Potrerillo","4500","5400","4767","2023-09-18"
"Ajo importado","Pereira, La 41","5500","6000","5750","2023-09-18"
"Ajo importado","Pereira, Mercasa","4500","5500","5075","2023-09-18"
"Ajo importado","Popayán, Plaza de mercado del barrio Bolívar","5200","5500","5463","2023-09-18"
"Ajo importado","Sincelejo, Nuevo Mercado","4200","4500","4358","2023-09-18"
"Ajo importado","Tuluá (Valle del Cauca)","5500","5800","5633","2023-09-18"
