"X1","X2","X3","X4","X5","Fecha"
"Acelga","Armenia, Mercar","1533","1933","1733","2023-03-06"
"Acelga","Barranquilla, Barranquillita","4000","4000","4000","2023-03-06"
"Acelga","Bogotá, D.C., Corabastos","1000","2000","1488","2023-03-06"
"Acelga","Bucaramanga, Centroabastos","1000","1100","1033","2023-03-06"
"Acelga","Chiquinquirá (Boyacá)","1600","1800","1700","2023-03-06"
"Acelga","Duitama (Boyacá)","1000","1000","1000","2023-03-06"
"Acelga","Florencia (Caquetá)","2100","2200","2150","2023-03-06"
"Acelga","Ibagué, Plaza La 21","1440","2000","1693","2023-03-06"
"Acelga","Ipiales (Nariño), Ipiales somos todos","1500","2000","1667","2023-03-06"
"Acelga","Medellín, Central Mayorista de Antioquia","1000","1500","1442","2023-03-06"
"Acelga","Neiva, Surabastos","2250","2500","2406","2023-03-06"
"Acelga","Pamplona (Norte de Santander)","2000","2000","2000","2023-03-06"
"Acelga","Pasto, El Potrerillo","2500","3000","2792","2023-03-06"
"Acelga","Sogamoso (Boyacá)","1000","1000","1000","2023-03-06"
"Acelga","Tunja, Complejo de Servicios del Sur","1500","1700","1561","2023-03-06"
"Acelga","Ubaté (Cundinamarca)","1000","1000","1000","2023-03-06"
"Acelga","Villavicencio, CAV","1800","2400","2000","2023-03-06"
"Ahuyama","Armenia, Mercar","800","1100","933","2023-03-06"
"Ahuyama","Barranquilla, Barranquillita","629","643","640","2023-03-06"
"Ahuyama","Barranquilla, Granabastos","743","786","761","2023-03-06"
"Ahuyama","Bogotá, D.C., Corabastos","1100","1200","1133","2023-03-06"
"Ahuyama","Bucaramanga, Centroabastos","800","900","825","2023-03-06"
"Ahuyama","Buenaventura (Valle del Cauca)","1000","1000","1000","2023-03-06"
"Ahuyama","Cali, Cavasa","800","800","800","2023-03-06"
"Ahuyama","Cali, Santa Helena","800","850","808","2023-03-06"
"Ahuyama","Cartagena, Bazurto","800","857","817","2023-03-06"
"Ahuyama","Cartago (Valle del Cauca)","800","1000","933","2023-03-06"
"Ahuyama","Cúcuta, Cenabastos","900","900","900","2023-03-06"
"Ahuyama","Duitama (Boyacá)","625","625","625","2023-03-06"
"Ahuyama","Ibagué, Plaza La 21","600","800","696","2023-03-06"
"Ahuyama","Manizales, Centro Galerías","1200","1300","1250","2023-03-06"
"Ahuyama","Medellín, Central Mayorista de Antioquia","600","700","688","2023-03-06"
"Ahuyama","Medellín, Plaza Minorista ""José María Villa""","600","700","650","2023-03-06"
"Ahuyama","Montería, Mercado del Sur","460","600","525","2023-03-06"
"Ahuyama","Palmira (Valle del Cauca)","800","900","825","2023-03-06"
"Ahuyama","Pamplona (Norte de Santander)","800","1000","933","2023-03-06"
"Ahuyama","Pereira, La 41","1000","1200","1033","2023-03-06"
"Ahuyama","Pereira, Mercasa","900","1000","967","2023-03-06"
"Ahuyama","Popayán, Plaza de mercado del barrio Bolívar","760","800","790","2023-03-06"
"Ahuyama","Rionegro (Antioquia)","900","1100","998","2023-03-06"
"Ahuyama","San Gil (Santander)","900","1000","967","2023-03-06"
"Ahuyama","Santa Marta (Magdalena)","857","857","857","2023-03-06"
"Ahuyama","Sincelejo, Nuevo Mercado","600","600","600","2023-03-06"
"Ahuyama","Socorro (Santander)","900","1000","950","2023-03-06"
"Ahuyama","Sogamoso (Boyacá)","700","800","775","2023-03-06"
"Ahuyama","Tuluá (Valle del Cauca)","900","1000","967","2023-03-06"
"Ahuyama","Tunja, Complejo de Servicios del Sur","656","719","696","2023-03-06"
"Ahuyama","Valledupar, Mercabastos","600","700","659","2023-03-06"
"Ahuyama","Valledupar, Mercado Nuevo","700","800","756","2023-03-06"
"Ahuyama","Yopal (Casanare)","500","500","500","2023-03-06"
"Ahuyamín (Sakata)","Bogotá, D.C., Corabastos","800","900","867","2023-03-06"
"Ahuyamín (Sakata)","Bucaramanga, Centroabastos","500","520","503","2023-03-06"
"Ahuyamín (Sakata)","Duitama (Boyacá)","800","840","810","2023-03-06"
"Ahuyamín (Sakata)","Florencia (Caquetá)","1280","1280","1280","2023-03-06"
"Ahuyamín (Sakata)","Ibagué, Plaza La 21","1400","1500","1417","2023-03-06"
"Ahuyamín (Sakata)","Neiva, Surabastos","960","1200","1040","2023-03-06"
"Ahuyamín (Sakata)","Pamplona (Norte de Santander)","1000","1000","1000","2023-03-06"
"Ahuyamín (Sakata)","San Gil (Santander)","900","1000","933","2023-03-06"
"Ahuyamín (Sakata)","Sogamoso (Boyacá)","600","740","678","2023-03-06"
"Ahuyamín (Sakata)","Tunja, Complejo de Servicios del Sur","680","760","733","2023-03-06"
"Ahuyamín (Sakata)","Villavicencio, CAV","1000","1200","1096","2023-03-06"
"Ahuyamín (Sakata)","Yopal (Casanare)","1000","1000","1000","2023-03-06"
"Ají topito dulce","Barranquilla, Barranquillita","2000","2625","2354","2023-03-06"
"Ají topito dulce","Cartagena, Bazurto","2500","3000","2833","2023-03-06"
"Ají topito dulce","Medellín, Central Mayorista de Antioquia","1500","3000","2627","2023-03-06"
"Ají topito dulce","Montería, Mercado del Sur","1375","2000","1663","2023-03-06"
"Ají topito dulce","Sincelejo, Nuevo Mercado","1125","1250","1219","2023-03-06"
"Ajo","Bogotá, D.C., Corabastos","14000","16000","14583","2023-03-06"
"Ajo","Chiquinquirá (Boyacá)","4000","4800","4467","2023-03-06"
"Ajo","Cúcuta, Cenabastos","3000","3800","3456","2023-03-06"
"Ajo","Duitama (Boyacá)","4000","4400","4133","2023-03-06"
"Ajo","Ipiales (Nariño), Ipiales somos todos","12500","14000","13250","2023-03-06"
"Ajo","Manizales, Centro Galerías","11875","12500","12292","2023-03-06"
"Ajo","Medellín, Central Mayorista de Antioquia","8500","15000","10958","2023-03-06"
"Ajo","Pamplona (Norte de Santander)","3500","4000","3733","2023-03-06"
"Ajo","Pasto, El Potrerillo","12500","15000","14250","2023-03-06"
"Ajo","Pereira, La 41","9444","10000","9861","2023-03-06"
"Ajo","Pereira, Mercasa","8889","10667","9870","2023-03-06"
"Ajo","San Gil (Santander)","5000","5100","5033","2023-03-06"
"Ajo","Sogamoso (Boyacá)","4000","4400","4275","2023-03-06"
"Ajo","Tunja, Complejo de Servicios del Sur","4300","4500","4442","2023-03-06"
"Ajo","Túquerres (Nariño)","13000","14000","13500","2023-03-06"
"Ajo","Villavicencio, CAV","6000","8000","7188","2023-03-06"
"Ajo importado","Arauca (Arauca)","13000","14000","13333","2023-03-06"
"Ajo importado","Armenia, Mercar","13500","14000","13667","2023-03-06"
"Ajo importado","Barranquilla, Barranquillita","10500","11000","10942","2023-03-06"
"Ajo importado","Barranquilla, Granabastos","10300","10600","10442","2023-03-06"
"Ajo importado","Bogotá, D.C., Corabastos","12000","14000","13104","2023-03-06"
"Ajo importado","Bucaramanga, Centroabastos","11500","12000","11938","2023-03-06"
"Ajo importado","Buenaventura (Valle del Cauca)","11500","12000","11683","2023-03-06"
"Ajo importado","Cali, Cavasa","10800","11500","11019","2023-03-06"
"Ajo importado","Cali, Santa Helena","11000","11000","11000","2023-03-06"
"Ajo importado","Cartagena, Bazurto","9500","11000","10042","2023-03-06"
"Ajo importado","Cartago (Valle del Cauca)","12000","13000","12333","2023-03-06"
"Ajo importado","Cúcuta, Cenabastos","10000","11500","10938","2023-03-06"
"Ajo importado","Ibagué, Plaza La 21","13000","13000","13000","2023-03-06"
"Ajo importado","Ipiales (Nariño), Ipiales somos todos","11000","11500","11250","2023-03-06"
"Ajo importado","Manizales, Centro Galerías","14000","14000","14000","2023-03-06"
"Ajo importado","Medellín, Central Mayorista de Antioquia","10500","11500","11125","2023-03-06"
"Ajo importado","Montería, Mercado del Sur","9500","10500","10000","2023-03-06"
"Ajo importado","Neiva, Surabastos","11000","13000","12088","2023-03-06"
"Ajo importado","Palmira (Valle del Cauca)","11000","11000","11000","2023-03-06"
"Ajo importado","Pasto, El Potrerillo","10500","11000","10750","2023-03-06"
"Ajo importado","Pereira, La 41","13000","14000","13417","2023-03-06"
"Ajo importado","Pereira, Mercasa","11000","12800","12050","2023-03-06"
"Ajo importado","Popayán, Plaza de mercado del barrio Bolívar","12000","12200","12025","2023-03-06"
"Ajo importado","Sincelejo, Nuevo Mercado","9800","10500","10192","2023-03-06"
"Ajo importado","Tuluá (Valle del Cauca)","11500","12000","11667","2023-03-06"
"Ajo importado","Valledupar, Mercabastos","10200","12000","11072","2023-03-06"
"Apio","Arauca (Arauca)","2250","2500","2333","2023-03-06"
"Apio","Armenia, Mercar","1050","1300","1192","2023-03-06"
"Apio","Barranquilla, Barranquillita","1800","1900","1867","2023-03-06"
"Apio","Barranquilla, Granabastos","1700","1900","1808","2023-03-06"
"Apio","Bogotá, D.C., Corabastos","1000","2000","1550","2023-03-06"
"Apio","Bucaramanga, Centroabastos","800","1250","938","2023-03-06"
"Apio","Cali, Cavasa","1471","1529","1509","2023-03-06"
"Apio","Cali, Santa Helena","1412","1529","1480","2023-03-06"
"Apio","Cartagena, Bazurto","1700","2000","1850","2023-03-06"
"Apio","Cartago (Valle del Cauca)","1760","1840","1787","2023-03-06"
"Apio","Chiquinquirá (Boyacá)","800","1000","900","2023-03-06"
"Apio","Cúcuta, Cenabastos","1133","1333","1240","2023-03-06"
"Apio","Duitama (Boyacá)","900","1000","938","2023-03-06"
"Apio","Ibagué, Plaza La 21","1440","2080","1720","2023-03-06"
"Apio","Ipiales (Nariño), Ipiales somos todos","2500","3500","2944","2023-03-06"
"Apio","Manizales, Centro Galerías","2080","2400","2293","2023-03-06"
"Apio","Marinilla (Antioquia)","700","1000","892","2023-03-06"
"Apio","Medellín, Central Mayorista de Antioquia","1000","1500","1183","2023-03-06"
"Apio","Medellín, Plaza Minorista ""José María Villa""","1000","1700","1419","2023-03-06"
"Apio","Montería, Mercado del Sur","1200","1400","1258","2023-03-06"
