"X1","X2","X3","X4","X5","Fecha"
"Acelga","Armenia, Mercar","1467","1600","1556","2023-12-09"
"Acelga","Bogotá, D.C., Corabastos","667","1067","919","2023-12-09"
"Acelga","Bucaramanga, Centroabastos","2000","2000","2000","2023-12-09"
"Acelga","Chiquinquirá (Boyacá)","1800","2000","1900","2023-12-09"
"Acelga","Duitama (Boyacá), Mercaplaza","2000","2000","2000","2023-12-09"
"Acelga","Florencia (Caquetá)","2300","2400","2367","2023-12-09"
"Acelga","Ibagué, Plaza La 21","1440","1760","1689","2023-12-09"
"Acelga","Ipiales (Nariño), Ipiales somos todos","1500","2000","1944","2023-12-09"
"Acelga","Medellín, Central Mayorista de Antioquia","1900","2000","1975","2023-12-09"
"Acelga","Neiva, Surabastos","2250","2500","2396","2023-12-09"
"Acelga","Pamplona (Norte de Santander)","3000","4000","3500","2023-12-09"
"Acelga","Pasto, El Potrerillo","2500","3000","2833","2023-12-09"
"Acelga","Pereira, Mercasa","2000","3000","2583","2023-12-09"
"Acelga","Tibasosa (Boyacá), Coomproriente","2000","2000","2000","2023-12-09"
"Acelga","Tunja, Complejo de Servicios del Sur","2000","2500","2111","2023-12-09"
"Acelga","Villavicencio, CAV","2000","2400","2067","2023-12-09"
"Acelga","Yopal (Casanare)","2000","2000","2000","2023-12-09"
"Ahuyama","Armenia, Mercar","1200","1300","1267","2023-12-09"
"Ahuyama","Bogotá, D.C., Corabastos","2200","2500","2365","2023-12-09"
"Ahuyama","Bucaramanga, Centroabastos","1300","1400","1375","2023-12-09"
"Ahuyama","Buenaventura (Valle del Cauca)","2000","2100","2017","2023-12-09"
"Ahuyama","Cali, Cavasa","1500","1600","1525","2023-12-09"
"Ahuyama","Cali, Santa Elena","1500","1500","1500","2023-12-09"
"Ahuyama","Cartagena, Bazurto","1600","2143","1807","2023-12-09"
"Ahuyama","Cartago (Valle del Cauca)","1600","2000","1800","2023-12-09"
"Ahuyama","Cúcuta, Cenabastos","1700","1800","1775","2023-12-09"
"Ahuyama","Duitama (Boyacá), Mercaplaza","1188","1250","1229","2023-12-09"
"Ahuyama","Ibagué, Plaza La 21","1500","2000","1767","2023-12-09"
"Ahuyama","Manizales, Centro Galerías","1800","2000","1867","2023-12-09"
"Ahuyama","Medellín, Central Mayorista de Antioquia","1200","1300","1243","2023-12-09"
"Ahuyama","Medellín, Plaza Minorista ""José María Villa""","1400","1500","1425","2023-12-09"
"Ahuyama","Montería, Mercado del Sur","1400","1600","1477","2023-12-09"
"Ahuyama","Palmira (Valle del Cauca)","1700","1800","1750","2023-12-09"
"Ahuyama","Pamplona (Norte de Santander)","1500","2000","1725","2023-12-09"
"Ahuyama","Pereira, La 41","1600","2000","1725","2023-12-09"
"Ahuyama","Pereira, Mercasa","1500","1900","1625","2023-12-09"
"Ahuyama","Popayán, Plaza de mercado del barrio Bolívar","1920","1960","1953","2023-12-09"
"Ahuyama","San Gil (Santander)","1500","1500","1500","2023-12-09"
"Ahuyama","Sincelejo, Nuevo Mercado","1200","1400","1317","2023-12-09"
"Ahuyama","Socorro (Santander)","1500","1500","1500","2023-12-09"
"Ahuyama","Tibasosa (Boyacá), Coomproriente","700","900","813","2023-12-09"
"Ahuyama","Tuluá (Valle del Cauca)","1700","1800","1713","2023-12-09"
"Ahuyama","Tunja, Complejo de Servicios del Sur","1000","1250","1135","2023-12-09"
"Ahuyama","Valledupar, Mercabastos","1200","1500","1300","2023-12-09"
"Ahuyama","Yopal (Casanare)","2000","2000","2000","2023-12-09"
"Ahuyamín (Sakata)","Arauca (Arauca)","1900","1940","1920","2023-12-09"
"Ahuyamín (Sakata)","Bogotá, D.C., Corabastos","1000","1200","1034","2023-12-09"
"Ahuyamín (Sakata)","Bucaramanga, Centroabastos","900","1000","963","2023-12-09"
"Ahuyamín (Sakata)","Chiquinquirá (Boyacá)","1200","1400","1333","2023-12-09"
"Ahuyamín (Sakata)","Duitama (Boyacá), Mercaplaza","1800","2000","1900","2023-12-09"
"Ahuyamín (Sakata)","Florencia (Caquetá)","1600","1760","1653","2023-12-09"
"Ahuyamín (Sakata)","Ibagué, Plaza La 21","2000","2200","2022","2023-12-09"
"Ahuyamín (Sakata)","Neiva, Surabastos","1200","1600","1535","2023-12-09"
"Ahuyamín (Sakata)","Pamplona (Norte de Santander)","1500","2000","1767","2023-12-09"
"Ahuyamín (Sakata)","San Gil (Santander)","1500","1500","1500","2023-12-09"
