"X1","X2","X3","X4","X5","Fecha"
"Acelga","Armenia, Mercar","1733","1867","1822","2023-01-27"
"Acelga","Bogotá, D.C., Corabastos","467","800","581","2023-01-27"
"Acelga","Bucaramanga, Centroabastos","2000","2000","2000","2023-01-27"
"Acelga","Chiquinquirá (Boyacá)","1500","2000","1783","2023-01-27"
"Acelga","Duitama (Boyacá), Mercaplaza","1500","1600","1567","2023-01-27"
"Acelga","Florencia (Caquetá)","2600","2700","2633","2023-01-27"
"Acelga","Ibagué, Plaza La 21","1280","1920","1600","2023-01-27"
"Acelga","Ipiales (Nariño), Ipiales somos todos","1500","2000","1750","2023-01-27"
"Acelga","Medellín, Central Mayorista de Antioquia","1900","2000","1950","2023-01-27"
"Acelga","Neiva, Surabastos","1750","2063","1923","2023-01-27"
"Acelga","Pamplona (Norte de Santander)","4000","4500","4250","2023-01-27"
"Acelga","Pasto, El Potrerillo","2500","3000","2833","2023-01-27"
"Acelga","Pereira, Mercasa","2000","3000","2667","2023-01-27"
"Acelga","Tibasosa (Boyacá), Coomproriente","2000","2000","2000","2023-01-27"
"Acelga","Tunja, Complejo de Servicios del Sur","2000","2000","2000","2023-01-27"
"Acelga","Villavicencio, CAV","1500","2000","1733","2023-01-27"
"Acelga","Yopal (Casanare)","2000","2000","2000","2023-01-27"
"Ahuyama","Armenia, Mercar","1200","1300","1267","2023-01-27"
"Ahuyama","Bogotá, D.C., Corabastos","1900","2200","2088","2023-01-27"
"Ahuyama","Bucaramanga, Centroabastos","1200","1400","1356","2023-01-27"
"Ahuyama","Buenaventura (Valle del Cauca)","2100","2200","2183","2023-01-27"
"Ahuyama","Cali, Cavasa","1600","1700","1669","2023-01-27"
"Ahuyama","Cali, Santa Elena","1600","1600","1600","2023-01-27"
"Ahuyama","Cartago (Valle del Cauca)","1700","1800","1733","2023-01-27"
"Ahuyama","Cúcuta, Cenabastos","1500","1700","1575","2023-01-27"
"Ahuyama","Duitama (Boyacá), Mercaplaza","1250","1250","1250","2023-01-27"
"Ahuyama","Ibagué, Plaza La 21","1500","1600","1517","2023-01-27"
"Ahuyama","Manizales, Centro Galerías","1800","2000","1933","2023-01-27"
"Ahuyama","Medellín, Central Mayorista de Antioquia","1200","1400","1283","2023-01-27"
"Ahuyama","Medellín, Plaza Minorista ""José María Villa""","1400","1500","1417","2023-01-27"
"Ahuyama","Montería, Mercado del Sur","1200","1600","1389","2023-01-27"
"Ahuyama","Palmira (Valle del Cauca)","1700","2000","1838","2023-01-27"
"Ahuyama","Pamplona (Norte de Santander)","2000","2000","2000","2023-01-27"
"Ahuyama","Pereira, La 41","1500","2000","1700","2023-01-27"
"Ahuyama","Pereira, Mercasa","1200","1700","1425","2023-01-27"
"Ahuyama","Popayán, Plaza de mercado del barrio Bolívar","1960","2000","1980","2023-01-27"
"Ahuyama","San Gil (Santander)","1500","1500","1500","2023-01-27"
"Ahuyama","Sincelejo, Nuevo Mercado","1400","1400","1400","2023-01-27"
"Ahuyama","Socorro (Santander)","1500","1500","1500","2023-01-27"
"Ahuyama","Tibasosa (Boyacá), Coomproriente","800","800","800","2023-01-27"
"Ahuyama","Tuluá (Valle del Cauca)","1500","1700","1629","2023-01-27"
"Ahuyama","Tunja, Complejo de Servicios del Sur","875","1000","938","2023-01-27"
"Ahuyama","Valledupar, Mercabastos","1200","1400","1367","2023-01-27"
"Ahuyama","Valledupar, Mercado Nuevo","1400","1400","1400","2023-01-27"
"Ahuyama","Yopal (Casanare)","1500","1700","1600","2023-01-27"
"Ahuyamín (Sakata)","Arauca (Arauca)","1140","1340","1240","2023-01-27"
"Ahuyamín (Sakata)","Bogotá, D.C., Corabastos","1000","1160","1069","2023-01-27"
"Ahuyamín (Sakata)","Bucaramanga, Centroabastos","800","900","845","2023-01-27"
"Ahuyamín (Sakata)","Chiquinquirá (Boyacá)","1000","1200","1067","2023-01-27"
"Ahuyamín (Sakata)","Duitama (Boyacá), Mercaplaza","1400","1500","1433","2023-01-27"
"Ahuyamín (Sakata)","Florencia (Caquetá)","1440","1600","1547","2023-01-27"
"Ahuyamín (Sakata)","Ibagué, Plaza La 21","1800","2000","1844","2023-01-27"
"Ahuyamín (Sakata)","Neiva, Surabastos","1200","1280","1230","2023-01-27"
"Ahuyamín (Sakata)","Pamplona (Norte de Santander)","2000","2000","2000","2023-01-27"
"Ahuyamín (Sakata)","San Gil (Santander)","1000","1000","1000","2023-01-27"
"Ahuyamín (Sakata)","Tibasosa (Boyacá), Coomproriente","1000","1200","1063","2023-01-27"
"Ahuyamín (Sakata)","Tunja, Complejo de Servicios del Sur","1400","1600","1529","2023-01-27"
"Ahuyamín (Sakata)","Villavicencio, CAV","1100","1400","1267","2023-01-27"
"Ahuyamín (Sakata)","Yopal (Casanare)","1400","1400","1400","2023-01-27"
"Ají topito dulce","Cartagena, Bazurto","3750","5000","4528","2023-01-27"
"Ají topito dulce","Medellín, Central Mayorista de Antioquia","4500","5600","5167","2023-01-27"
"Ají topito dulce","Montería, Mercado del Sur","4250","5500","4750","2023-01-27"
"Ají topito dulce","Sincelejo, Nuevo Mercado","3750","4500","4333","2023-01-27"
"Ajo","Bogotá, D.C., Corabastos","10000","14000","12669","2023-01-27"
"Ajo","Chiquinquirá (Boyacá)","4500","5000","4917","2023-01-27"
"Ajo","Cúcuta, Cenabastos","3500","4500","3917","2023-01-27"
"Ajo","Duitama (Boyacá), Mercaplaza","5200","6000","5567","2023-01-27"
"Ajo","Ipiales (Nariño), Ipiales somos todos","9000","9000","9000","2023-01-27"
"Ajo","Manizales, Centro Galerías","8750","9375","8958","2023-01-27"
"Ajo","Medellín, Central Mayorista de Antioquia","10000","12500","11333","2023-01-27"
"Ajo","Pamplona (Norte de Santander)","3500","4500","3917","2023-01-27"
"Ajo","Pasto, El Potrerillo","9500","11000","10042","2023-01-27"
"Ajo","Pereira, La 41","8222","10000","9167","2023-01-27"
"Ajo","Pereira, Mercasa","8889","10000","9194","2023-01-27"
"Ajo","San Gil (Santander)","10000","12000","11000","2023-01-27"
"Ajo","Tibasosa (Boyacá), Coomproriente","4600","5000","4800","2023-01-27"
"Ajo","Tunja, Complejo de Servicios del Sur","4000","4500","4383","2023-01-27"
"Ajo","Túquerres (Nariño)","9000","9500","9250","2023-01-27"
"Ajo","Villavicencio, CAV","5500","7000","6250","2023-01-27"
"Ajo","Yopal (Casanare)","7000","7500","7250","2023-01-27"
"Ajo importado","Arauca (Arauca)","6300","7400","6900","2023-01-27"
"Ajo importado","Armenia, Mercar","12000","12000","12000","2023-01-27"
"Ajo importado","Barranquilla, Barranquillita","6300","6500","6367","2023-01-27"
"Ajo importado","Barranquilla, Granabastos","6200","6400","6289","2023-01-27"
"Ajo importado","Bogotá, D.C., Corabastos","6000","6700","6465","2023-01-27"
"Ajo importado","Bucaramanga, Centroabastos","6800","7200","7025","2023-01-27"
